date,y,m,d,dow,trading
1999-12-30,1999,12,30,Thu,1
1999-12-31,1999,12,31,Fri,1
2000-01-01,2000,1,1,Sat,0
2001-01-02,2001,1,2,Tue,1
2001-01-03,2001,1,3,Wed,1
2001-01-04,2001,1,4,Thu,1
2001-01-05,2001,1,5,Fri,1
2001-01-06,2001,1,6,Sat,0
2001-01-07,2001,1,7,Sun,0
2001-01-08,2001,1,8,Mon,1
2001-01-09,2001,1,9,Tue,1
2001-01-10,2001,1,10,Wed,1
2001-01-11,2001,1,11,Thu,1
2001-01-12,2001,1,12,Fri,1
2001-01-13,2001,1,13,Sat,0
2001-01-14,2001,1,14,Sun,0
2001-01-15,2001,1,15,Mon,0
2001-01-16,2001,1,16,Tue,1
2001-01-17,2001,1,17,Wed,1
2001-01-18,2001,1,18,Thu,1
2001-01-19,2001,1,19,Fri,1
2001-01-20,2001,1,20,Sat,0
2001-01-21,2001,1,21,Sun,0
2001-01-22,2001,1,22,Mon,1
2001-01-23,2001,1,23,Tue,1
2001-01-24,2001,1,24,Wed,1
2001-01-25,2001,1,25,Thu,1
2001-01-26,2001,1,26,Fri,1
2001-01-27,2001,1,27,Sat,0
2001-01-28,2001,1,28,Sun,0
2001-01-29,2001,1,29,Mon,1
2001-01-30,2001,1,30,Tue,1
2001-01-31,2001,1,31,Wed,1
2001-02-01,2001,2,1,Thu,1
2001-02-02,2001,2,2,Fri,1
2001-02-03,2001,2,3,Sat,0
2001-02-04,2001,2,4,Sun,0
2001-02-05,2001,2,5,Mon,1
2001-02-06,2001,2,6,Tue,1
2001-02-07,2001,2,7,Wed,1
2001-02-08,2001,2,8,Thu,1
2001-02-09,2001,2,9,Fri,1
2001-02-10,2001,2,10,Sat,0
2001-02-11,2001,2,11,Sun,0
2001-02-12,2001,2,12,Mon,1
2001-02-13,2001,2,13,Tue,1
2001-02-14,2001,2,14,Wed,1
2001-02-15,2001,2,15,Thu,1
2001-02-16,2001,2,16,Fri,1
2001-02-17,2001,2,17,Sat,0
2001-02-18,2001,2,18,Sun,0
2001-02-19,2001,2,19,Mon,0
2001-02-20,2001,2,20,Tue,1
2001-02-21,2001,2,21,Wed,1
2001-02-22,2001,2,22,Thu,1
2001-02-23,2001,2,23,Fri,1
2001-02-24,2001,2,24,Sat,0
2001-02-25,2001,2,25,Sun,0
2001-02-26,2001,2,26,Mon,1
2001-02-27,2001,2,27,Tue,1
2001-02-28,2001,2,28,Wed,1
2001-03-01,2001,3,1,Thu,1
2001-03-02,2001,3,2,Fri,1
2001-03-03,2001,3,3,Sat,0
2001-03-04,2001,3,4,Sun,0
2001-03-05,2001,3,5,Mon,1
2001-03-06,2001,3,6,Tue,1
2001-03-07,2001,3,7,Wed,1
2001-03-08,2001,3,8,Thu,1
2001-03-09,2001,3,9,Fri,1
2001-03-10,2001,3,10,Sat,0
2001-03-11,2001,3,11,Sun,0
2001-03-12,2001,3,12,Mon,1
2001-03-13,2001,3,13,Tue,1
2001-03-14,2001,3,14,Wed,1
2001-03-15,2001,3,15,Thu,1
2001-03-16,2001,3,16,Fri,1
2001-03-17,2001,3,17,Sat,0
2001-03-18,2001,3,18,Sun,0
2001-03-19,2001,3,19,Mon,1
2001-03-20,2001,3,20,Tue,1
2001-03-21,2001,3,21,Wed,1
2001-03-22,2001,3,22,Thu,1
2001-03-23,2001,3,23,Fri,1
2001-03-24,2001,3,24,Sat,0
2001-03-25,2001,3,25,Sun,0
2001-03-26,2001,3,26,Mon,1
2001-03-27,2001,3,27,Tue,1
2001-03-28,2001,3,28,Wed,1
2001-03-29,2001,3,29,Thu,1
2001-03-30,2001,3,30,Fri,1
2001-03-31,2001,3,31,Sat,0
2001-04-01,2001,4,1,Sun,0
2001-04-02,2001,4,2,Mon,1
2001-04-03,2001,4,3,Tue,1
2001-04-04,2001,4,4,Wed,1
2001-04-05,2001,4,5,Thu,1
2001-04-06,2001,4,6,Fri,1
2001-04-07,2001,4,7,Sat,0
2001-04-08,2001,4,8,Sun,0
2001-04-09,2001,4,9,Mon,1
2001-04-10,2001,4,10,Tue,1
2001-04-11,2001,4,11,Wed,1
2001-04-12,2001,4,12,Thu,1
2001-04-13,2001,4,13,Fri,0
2001-04-14,2001,4,14,Sat,0
2001-04-15,2001,4,15,Sun,0
2001-04-16,2001,4,16,Mon,1
2001-04-17,2001,4,17,Tue,1
2001-04-18,2001,4,18,Wed,1
2001-04-19,2001,4,19,Thu,1
2001-04-20,2001,4,20,Fri,1
2001-04-21,2001,4,21,Sat,0
2001-04-22,2001,4,22,Sun,0
2001-04-23,2001,4,23,Mon,1
2001-04-24,2001,4,24,Tue,1
2001-04-25,2001,4,25,Wed,1
2001-04-26,2001,4,26,Thu,1
2001-04-27,2001,4,27,Fri,1
2001-04-28,2001,4,28,Sat,0
2001-04-29,2001,4,29,Sun,0
2001-04-30,2001,4,30,Mon,1
2001-05-01,2001,5,1,Tue,1
2001-05-02,2001,5,2,Wed,1
2001-05-03,2001,5,3,Thu,1
2001-05-04,2001,5,4,Fri,1
2001-05-05,2001,5,5,Sat,0
2001-05-06,2001,5,6,Sun,0
2001-05-07,2001,5,7,Mon,1
2001-05-08,2001,5,8,Tue,1
2001-05-09,2001,5,9,Wed,1
2001-05-10,2001,5,10,Thu,1
2001-05-11,2001,5,11,Fri,1
2001-05-12,2001,5,12,Sat,0
2001-05-13,2001,5,13,Sun,0
2001-05-14,2001,5,14,Mon,1
2001-05-15,2001,5,15,Tue,1
2001-05-16,2001,5,16,Wed,1
2001-05-17,2001,5,17,Thu,1
2001-05-18,2001,5,18,Fri,1
2001-05-19,2001,5,19,Sat,0
2001-05-20,2001,5,20,Sun,0
2001-05-21,2001,5,21,Mon,1
2001-05-22,2001,5,22,Tue,1
2001-05-23,2001,5,23,Wed,1
2001-05-24,2001,5,24,Thu,1
2001-05-25,2001,5,25,Fri,1
2001-05-26,2001,5,26,Sat,0
2001-05-27,2001,5,27,Sun,0
2001-05-28,2001,5,28,Mon,0
2001-05-29,2001,5,29,Tue,1
2001-05-30,2001,5,30,Wed,1
2001-05-31,2001,5,31,Thu,1
2001-06-01,2001,6,1,Fri,1
2001-06-02,2001,6,2,Sat,0
2001-06-03,2001,6,3,Sun,0
2001-06-04,2001,6,4,Mon,1
2001-06-05,2001,6,5,Tue,1
2001-06-06,2001,6,6,Wed,1
2001-06-07,2001,6,7,Thu,1
2001-06-08,2001,6,8,Fri,1
2001-06-09,2001,6,9,Sat,0
2001-06-10,2001,6,10,Sun,0
2001-06-11,2001,6,11,Mon,1
2001-06-12,2001,6,12,Tue,1
2001-06-13,2001,6,13,Wed,1
2001-06-14,2001,6,14,Thu,1
2001-06-15,2001,6,15,Fri,1
2001-06-16,2001,6,16,Sat,0
2001-06-17,2001,6,17,Sun,0
2001-06-18,2001,6,18,Mon,1
2001-06-19,2001,6,19,Tue,1
2001-06-20,2001,6,20,Wed,1
2001-06-21,2001,6,21,Thu,1
2001-06-22,2001,6,22,Fri,1
2001-06-23,2001,6,23,Sat,0
2001-06-24,2001,6,24,Sun,0
2001-06-25,2001,6,25,Mon,1
2001-06-26,2001,6,26,Tue,1
2001-06-27,2001,6,27,Wed,1
2001-06-28,2001,6,28,Thu,1
2001-06-29,2001,6,29,Fri,1
2001-06-30,2001,6,30,Sat,0
2001-07-01,2001,7,1,Sun,0
2001-07-02,2001,7,2,Mon,1
2001-07-03,2001,7,3,Tue,1
2001-07-04,2001,7,4,Wed,0
2001-07-05,2001,7,5,Thu,1
2001-07-06,2001,7,6,Fri,1
2001-07-07,2001,7,7,Sat,0
2001-07-08,2001,7,8,Sun,0
2001-07-09,2001,7,9,Mon,1
2001-07-10,2001,7,10,Tue,1
2001-07-11,2001,7,11,Wed,1
2001-07-12,2001,7,12,Thu,1
2001-07-13,2001,7,13,Fri,1
2001-07-14,2001,7,14,Sat,0
2001-07-15,2001,7,15,Sun,0
2001-07-16,2001,7,16,Mon,1
2001-07-17,2001,7,17,Tue,1
2001-07-18,2001,7,18,Wed,1
2001-07-19,2001,7,19,Thu,1
2001-07-20,2001,7,20,Fri,1
2001-07-21,2001,7,21,Sat,0
2001-07-22,2001,7,22,Sun,0
2001-07-23,2001,7,23,Mon,1
2001-07-24,2001,7,24,Tue,1
2001-07-25,2001,7,25,Wed,1
2001-07-26,2001,7,26,Thu,1
2001-07-27,2001,7,27,Fri,1
2001-07-28,2001,7,28,Sat,0
2001-07-29,2001,7,29,Sun,0
2001-07-30,2001,7,30,Mon,1
2001-07-31,2001,7,31,Tue,1
2001-08-01,2001,8,1,Wed,1
2001-08-02,2001,8,2,Thu,1
2001-08-03,2001,8,3,Fri,1
2001-08-04,2001,8,4,Sat,0
2001-08-05,2001,8,5,Sun,0
2001-08-06,2001,8,6,Mon,1
2001-08-07,2001,8,7,Tue,1
2001-08-08,2001,8,8,Wed,1
2001-08-09,2001,8,9,Thu,1
2001-08-10,2001,8,10,Fri,1
2001-08-11,2001,8,11,Sat,0
2001-08-12,2001,8,12,Sun,0
2001-08-13,2001,8,13,Mon,1
2001-08-14,2001,8,14,Tue,1
2001-08-15,2001,8,15,Wed,1
2001-08-16,2001,8,16,Thu,1
2001-08-17,2001,8,17,Fri,1
2001-08-18,2001,8,18,Sat,0
2001-08-19,2001,8,19,Sun,0
2001-08-20,2001,8,20,Mon,1
2001-08-21,2001,8,21,Tue,1
2001-08-22,2001,8,22,Wed,1
2001-08-23,2001,8,23,Thu,1
2001-08-24,2001,8,24,Fri,1
2001-08-25,2001,8,25,Sat,0
2001-08-26,2001,8,26,Sun,0
2001-08-27,2001,8,27,Mon,1
2001-08-28,2001,8,28,Tue,1
2001-08-29,2001,8,29,Wed,1
2001-08-30,2001,8,30,Thu,1
2001-08-31,2001,8,31,Fri,1
2001-09-01,2001,9,1,Sat,0
2001-09-02,2001,9,2,Sun,0
2001-09-03,2001,9,3,Mon,0
2001-09-04,2001,9,4,Tue,1
2001-09-05,2001,9,5,Wed,1
2001-09-06,2001,9,6,Thu,1
2001-09-07,2001,9,7,Fri,1
2001-09-08,2001,9,8,Sat,0
2001-09-09,2001,9,9,Sun,0
2001-09-10,2001,9,10,Mon,1
2001-09-11,2001,9,11,Tue,1
2001-09-12,2001,9,12,Wed,1
2001-09-13,2001,9,13,Thu,1
2001-09-14,2001,9,14,Fri,1
2001-09-15,2001,9,15,Sat,0
2001-09-16,2001,9,16,Sun,0
2001-09-17,2001,9,17,Mon,1
2001-09-18,2001,9,18,Tue,1
2001-09-19,2001,9,19,Wed,1
2001-09-20,2001,9,20,Thu,1
2001-09-21,2001,9,21,Fri,1
2001-09-22,2001,9,22,Sat,0
2001-09-23,2001,9,23,Sun,0
2001-09-24,2001,9,24,Mon,1
2001-09-25,2001,9,25,Tue,1
2001-09-26,2001,9,26,Wed,1
2001-09-27,2001,9,27,Thu,1
2001-09-28,2001,9,28,Fri,1
2001-09-29,2001,9,29,Sat,0
2001-09-30,2001,9,30,Sun,0
2001-10-01,2001,10,1,Mon,1
2001-10-02,2001,10,2,Tue,1
2001-10-03,2001,10,3,Wed,1
2001-10-04,2001,10,4,Thu,1
2001-10-05,2001,10,5,Fri,1
2001-10-06,2001,10,6,Sat,0
2001-10-07,2001,10,7,Sun,0
2001-10-08,2001,10,8,Mon,1
2001-10-09,2001,10,9,Tue,1
2001-10-10,2001,10,10,Wed,1
2001-10-11,2001,10,11,Thu,1
2001-10-12,2001,10,12,Fri,1
2001-10-13,2001,10,13,Sat,0
2001-10-14,2001,10,14,Sun,0
2001-10-15,2001,10,15,Mon,1
2001-10-16,2001,10,16,Tue,1
2001-10-17,2001,10,17,Wed,1
2001-10-18,2001,10,18,Thu,1
2001-10-19,2001,10,19,Fri,1
2001-10-20,2001,10,20,Sat,0
2001-10-21,2001,10,21,Sun,0
2001-10-22,2001,10,22,Mon,1
2001-10-23,2001,10,23,Tue,1
2001-10-24,2001,10,24,Wed,1
2001-10-25,2001,10,25,Thu,1
2001-10-26,2001,10,26,Fri,1
2001-10-27,2001,10,27,Sat,0
2001-10-28,2001,10,28,Sun,0
2001-10-29,2001,10,29,Mon,1
2001-10-30,2001,10,30,Tue,1
2001-10-31,2001,10,31,Wed,1
2001-11-01,2001,11,1,Thu,1
2001-11-02,2001,11,2,Fri,1
2001-11-03,2001,11,3,Sat,0
2001-11-04,2001,11,4,Sun,0
2001-11-05,2001,11,5,Mon,1
2001-11-06,2001,11,6,Tue,1
2001-11-07,2001,11,7,Wed,1
2001-11-08,2001,11,8,Thu,1
2001-11-09,2001,11,9,Fri,1
2001-11-10,2001,11,10,Sat,0
2001-11-11,2001,11,11,Sun,0
2001-11-12,2001,11,12,Mon,1
2001-11-13,2001,11,13,Tue,1
2001-11-14,2001,11,14,Wed,1
2001-11-15,2001,11,15,Thu,1
2001-11-16,2001,11,16,Fri,1
2001-11-17,2001,11,17,Sat,0
2001-11-18,2001,11,18,Sun,0
2001-11-19,2001,11,19,Mon,1
2001-11-20,2001,11,20,Tue,1
2001-11-21,2001,11,21,Wed,1
2001-11-22,2001,11,22,Thu,0
2001-11-23,2001,11,23,Fri,1
2001-11-24,2001,11,24,Sat,0
2001-11-25,2001,11,25,Sun,0
2001-11-26,2001,11,26,Mon,1
2001-11-27,2001,11,27,Tue,1
2001-11-28,2001,11,28,Wed,1
2001-11-29,2001,11,29,Thu,1
2001-11-30,2001,11,30,Fri,1
2001-12-01,2001,12,1,Sat,0
2001-12-02,2001,12,2,Sun,0
2001-12-03,2001,12,3,Mon,1
2001-12-04,2001,12,4,Tue,1
2001-12-05,2001,12,5,Wed,1
2001-12-06,2001,12,6,Thu,1
2001-12-07,2001,12,7,Fri,1
2001-12-08,2001,12,8,Sat,0
2001-12-09,2001,12,9,Sun,0
2001-12-10,2001,12,10,Mon,1
2001-12-11,2001,12,11,Tue,1
2001-12-12,2001,12,12,Wed,1
2001-12-13,2001,12,13,Thu,1
2001-12-14,2001,12,14,Fri,1
2001-12-15,2001,12,15,Sat,0
2001-12-16,2001,12,16,Sun,0
2001-12-17,2001,12,17,Mon,1
2001-12-18,2001,12,18,Tue,1
2001-12-19,2001,12,19,Wed,1
2001-12-20,2001,12,20,Thu,1
2001-12-21,2001,12,21,Fri,1
2001-12-22,2001,12,22,Sat,0
2001-12-23,2001,12,23,Sun,0
2001-12-24,2001,12,24,Mon,1
2001-12-25,2001,12,25,Tue,0
2001-12-26,2001,12,26,Wed,1
2001-12-27,2001,12,27,Thu,1
2001-12-28,2001,12,28,Fri,1
2001-12-29,2001,12,29,Sat,0
2001-12-30,2001,12,30,Sun,0
2001-12-31,2001,12,31,Mon,1
2002-01-01,2002,1,1,Tue,0
2002-01-02,2002,1,2,Wed,1
2002-01-03,2002,1,3,Thu,1
2002-01-04,2002,1,4,Fri,1
2002-01-05,2002,1,5,Sat,0
2002-01-06,2002,1,6,Sun,0
2002-01-07,2002,1,7,Mon,1
2002-01-08,2002,1,8,Tue,1
2002-01-09,2002,1,9,Wed,1
2002-01-10,2002,1,10,Thu,1
2002-01-11,2002,1,11,Fri,1
2002-01-12,2002,1,12,Sat,0
2002-01-13,2002,1,13,Sun,0
2002-01-14,2002,1,14,Mon,1
